first_bits,digest,k_anonymity_achieved,anonymity_imapct
1,SHA1,374,0
1,SHA256,390,0
1,SHA512,402,0
1,SHA3_256,382,0
1,SHA3_512,383,0
1,BLAKE2S256,400,0
1,BLAKE2B512,397,0
1,FSB160,395,0
1,FSB256,383,0
1,FSB512,402,0
1,MD2,374,0
1,WHIRLPOOL,400,0
2,SHA1,12,12
2,SHA256,14,14
2,SHA512,14,14
2,SHA3_256,13,13
2,SHA3_512,16,16
2,BLAKE2S256,14,14
2,BLAKE2B512,15,15
2,FSB160,14,14
2,FSB256,14,14
2,FSB512,13,13
2,MD2,16,16
2,WHIRLPOOL,16,16
3,SHA1,1,2
3,SHA256,1,2
3,SHA512,1,2
3,SHA3_256,1,2
3,SHA3_512,1,2
3,BLAKE2S256,1,2
3,BLAKE2B512,1,2
3,FSB160,1,2
3,FSB256,1,2
3,FSB512,1,2
3,MD2,1,2
3,WHIRLPOOL,1,2
4,SHA1,1,3
4,SHA256,1,3
4,SHA512,1,3
4,SHA3_256,1,3
4,SHA3_512,1,3
4,BLAKE2S256,1,3
4,BLAKE2B512,1,3
4,FSB160,1,3
4,FSB256,1,3
4,FSB512,1,3
4,MD2,1,3
4,WHIRLPOOL,1,3
5,SHA1,1,4
5,SHA256,1,4
5,SHA512,1,4
5,SHA3_256,1,4
5,SHA3_512,1,4
5,BLAKE2S256,1,4
5,BLAKE2B512,1,4
5,FSB160,1,4
5,FSB256,1,4
5,FSB512,1,4
5,MD2,1,4
5,WHIRLPOOL,1,4
6,SHA1,1,5
6,SHA256,1,5
6,SHA512,1,5
6,SHA3_256,1,5
6,SHA3_512,1,5
6,BLAKE2S256,1,5
6,BLAKE2B512,1,5
6,FSB160,1,5
6,FSB256,1,5
6,FSB512,1,5
6,MD2,1,5
6,WHIRLPOOL,1,5
7,SHA1,1,6
7,SHA256,1,6
7,SHA512,1,6
7,SHA3_256,1,6
7,SHA3_512,1,6
7,BLAKE2S256,1,6
7,BLAKE2B512,1,6
7,FSB160,1,6
7,FSB256,1,6
7,FSB512,1,6
7,MD2,1,6
7,WHIRLPOOL,1,6
8,SHA1,1,7
8,SHA256,1,7
8,SHA512,1,7
8,SHA3_256,1,7
8,SHA3_512,1,7
8,BLAKE2S256,1,7
8,BLAKE2B512,1,7
8,FSB160,1,7
8,FSB256,1,7
8,FSB512,1,7
8,MD2,1,7
8,WHIRLPOOL,1,7
9,SHA1,1,8
9,SHA256,1,8
9,SHA512,1,8
9,SHA3_256,1,8
9,SHA3_512,1,8
9,BLAKE2S256,1,8
9,BLAKE2B512,1,8
9,FSB160,1,8
9,FSB256,1,8
9,FSB512,1,8
9,MD2,1,8
9,WHIRLPOOL,1,8
10,SHA1,1,9
10,SHA256,1,9
10,SHA512,1,9
10,SHA3_256,1,9
10,SHA3_512,1,9
10,BLAKE2S256,1,9
10,BLAKE2B512,1,9
10,FSB160,1,9
10,FSB256,1,9
10,FSB512,1,9
10,MD2,1,9
10,WHIRLPOOL,1,9
